V1,V2,V3b,PapIV,KIC,HB,DV,Per,e_Per,BJD0,e_BJD0,Morph,GLON,GLAT,Kpmag,Teff,SC,LC,TS,Simbad,_RA.icrs,_DE.icrs
1.0,1.0,1.0,1.0,07680593,0.0,b'',0.2763915,2e-07,54964.777089,0.015677,0.97,75.3924,12.6876,15.445,5169.0,b'False',b'LC',b'TS',b'Simbad',291.147,43.3375
1.0,1.0,1.0,1.0,03853259,0.0,b'',0.2766478,2e-07,54964.780871,0.015948,0.98,71.7257,9.9958,13.922,4467.0,b'False',b'LC',b'TS',b'Simbad',292.2445,38.9232
1.0,1.0,1.0,1.0,11566174,0.0,b'',0.2768752,2e-07,54964.604431,0.015084,0.77,82.4065,12.8878,14.957,5300.0,b'False',b'LC',b'TS',b'Simbad',295.268,49.5664
0.0,0.0,1.0,1.0,03354616,0.0,b'',0.2769826,2e-07,55000.188881,0.014963,0.76,72.1142,8.1852,15.926,5093.0,b'False',b'LC',b'TS',b'Simbad',294.5274,38.4241
0.0,0.0,1.0,1.0,10074939,0.0,b'',0.2770936,2e-07,55063.305037,0.015031,0.76,78.9823,13.8907,15.888,4812.0,b'False',b'LC',b'TS',b'Simbad',291.7198,47.0104
1.0,1.0,1.0,1.0,02570289,0.0,b'',0.2790278,2e-07,54964.579321,0.017007,0.9,70.011,10.8936,15.33,5966.0,b'False',b'LC',b'TS',b'Simbad',290.261,37.8135
1.0,1.0,1.0,1.0,11246163,0.0,b'',0.2792275,2e-07,54964.563148,0.016501,0.79,81.1613,14.0329,14.605,5277.0,b'False',b'LC',b'TS',b'Simbad',292.8744,48.984
0.0,0.0,1.0,1.0,04476900,0.0,b'',0.2796663,2e-07,55000.141708,0.017146,0.78,73.2886,8.4869,15.745,5222.0,b'False',b'LC',b'TS',b'Simbad',294.895,39.5901
1.0,1.0,1.0,1.0,09508052,0.0,b'',0.2799961,2e-07,54964.649508,0.017348,0.91,75.474,19.8518,15.923,5004.0,b'False',b'LC',b'TS',b'Simbad',281.8471,46.1236
0.0,0.0,1.0,1.0,09357030,0.0,b'',0.2804421,2e-07,55001.917598,0.015656,0.93,79.6588,10.05,15.536,5452.0,b'False',b'LC',b'TS',b'Simbad',297.1237,45.8587
