KIC,T1,e_T1,T2,e_T2,R1_D,e_R1_D,R2_R1,e_R2_R1,T2_T1,Qual,Src,KIS,T1j,T2j,R2_R1j,T1k1,T2k1,R2_R1k1,Simbad,_RA,_DE
4451148.0,8006.0,440.0,5795.0,566.0,4.55e-11,3.7e-12,1.756,0.177,0.93,b'00100',b'1000',1.0,8006.0,5795.0,1.756,6727.0,6364.0,0.543,b'Simbad',287.43948,39.551472
4455763.0,6108.0,494.0,5314.0,799.0,1.25e-11,1.82e-12,0.84,0.202,0.7,b'00010',b'1110',2.0,6479.0,4843.0,0.887,6308.0,6057.0,0.762,b'Simbad',289.07651,39.570438
4456622.0,5758.0,388.0,5615.0,738.0,1.41e-11,2.2e-12,0.762,0.278,0.7,b'00010',b'1100',1.0,5699.0,5616.0,0.786,5837.0,5614.0,0.741,b'Simbad',289.32434,39.582581
4458989.0,7293.0,383.0,6185.0,596.0,3.39e-11,3.3e-12,0.765,0.243,0.845,b'00000',b'0110',2.0,7350.0,6189.0,0.703,7380.0,6244.0,0.798,b'Simbad',290.0015,39.533939
4459068.0,9793.0,601.0,9470.0,1399.0,3.84e-11,6.46e-12,0.833,0.391,0.7,b'00010',b'1000',2.0,9793.0,9470.0,0.833,10028.0,9777.0,0.824,b'Simbad',290.02435,39.563389
4464999.0,6204.0,359.0,6118.0,562.0,3.45e-11,3.32e-12,0.75,0.242,0.989,b'00000',b'1100',1.0,6193.0,6113.0,0.709,6221.0,6125.0,0.789,b'Simbad',291.79056,39.593788
4466356.0,6074.0,439.0,6279.0,869.0,2.27e-11,2.76e-12,0.709,0.271,0.7,b'00010',b'1100',1.0,6018.0,6376.0,0.725,6148.0,6151.0,0.694,b'Simbad',292.18237,39.560211
4466691.0,7052.0,459.0,6720.0,869.0,1.83e-11,2.19e-12,0.697,0.239,0.7,b'00010',b'1100',1.0,6941.0,6670.0,0.793,7127.0,6818.0,0.618,b'Simbad',292.27933,39.505081
4473933.0,4781.0,352.0,3657.0,549.0,1.43e-10,7.03e-12,0.994,0.186,0.428,b'11000',b'1100',1.0,4777.0,3633.0,1.019,4813.0,3761.0,0.752,b'Simbad',294.16245,39.552925
4474193.0,5618.0,355.0,5375.0,569.0,1.89e-11,2.17e-12,0.667,0.233,0.939,b'00000',b'1100',1.0,5594.0,5369.0,0.665,5673.0,5388.0,0.67,b'Simbad',294.23969,39.558479
4474637.0,6139.0,1614.0,4451.0,1086.0,2.26e-09,1.31e-09,0.801,0.331,0.7,b'11000',b'1000',0.0,6139.0,4451.0,0.801,,,,b'Simbad',294.34079,39.563118
4476900.0,5661.0,354.0,5337.0,547.0,1.42e-11,1.87e-12,0.885,0.203,0.955,b'00000',b'1110',2.0,5613.0,5301.0,0.853,5716.0,5438.0,0.739,b'Simbad',294.89517,39.590061
4480676.0,5476.0,359.0,5800.0,549.0,1.68e-11,2.08e-12,0.717,0.229,1.051,b'00000',b'1100',1.0,5346.0,5740.0,0.742,5544.0,5848.0,0.691,b'Simbad',295.73193,39.587521
4484356.0,5687.0,383.0,4796.0,555.0,2.6e-11,2.33e-12,1.148,0.19,0.966,b'00000',b'1110',2.0,5986.0,4774.0,1.478,5438.0,4941.0,0.839,b'Simbad',296.45972,39.573738
4540632.0,4900.0,357.0,4660.0,701.0,2.78e-11,3.62e-12,0.621,0.321,0.715,b'00000',b'1000',0.0,4900.0,4660.0,0.621,,,,b'Simbad',284.04434,39.661469
4544587.0,8755.0,692.0,8024.0,871.0,4.82e-11,7.38e-12,1.047,0.336,0.923,b'00000',b'1000',1.0,8755.0,8024.0,1.047,8854.0,8103.0,0.806,b'Simbad',285.88635,39.68343
4544620.0,5427.0,359.0,5323.0,706.0,1.45e-11,2.06e-12,0.575,0.263,0.7,b'00010',b'1100',1.0,5385.0,5171.0,0.507,5503.0,5443.0,0.704,b'Simbad',285.89816,39.672218
4545729.0,6216.0,440.0,6242.0,763.0,3.45e-11,3.6e-12,0.793,0.256,0.7,b'00010',b'1100',1.0,6187.0,6247.0,0.831,6238.0,6236.0,0.753,b'Simbad',286.40082,39.69836
4547067.0,6304.0,431.0,5813.0,893.0,1.92e-11,2.28e-12,0.686,0.244,0.7,b'00010',b'1100',1.0,6222.0,5912.0,0.701,6415.0,5621.0,0.675,b'Simbad',286.95959,39.64114
4547308.0,7247.0,730.0,6497.0,1106.0,3.79e-11,3.67e-12,0.803,0.246,0.953,b'00000',b'1000',1.0,7247.0,6497.0,0.803,7579.0,7093.0,0.687,b'Simbad',287.0607,39.66515
